,price,address,proptype,region,city,bedrooms,bathrooms,sqft
71,589900,405-2688 Vine Street,Apt/Condo,Kitsilano,Vancouver,1,1,558
72,499900,209-2889 E 1st Avenue,Apt/Condo,Renfrew,Vancouver,1,1,575
73,549900,205-8915 Hudson Street,Apt/Condo,Marpole,Vancouver,1,1,758
74,1550000,203-1860 Robson Street,Apt/Condo,West End,Vancouver,3,2,1565
75,1199000,907-5615 Hampton Place,Apt/Condo,University (Ubc),Vancouver,2,2,1394
76,2450000,SPH9-1245 Homer Street,Apt/Condo,Yaletown,Vancouver,2,3,1807
77,998000,302-6311 Cambie Street,Apt/Condo,Oakridge,Vancouver,2,2,848
78,1020000,1302-1133 Hornby Street,Apt/Condo,Downtown West,Vancouver,2,2,874
79,799900,2001-183 Keefer Place,Apt/Condo,Downtown West,Vancouver,2,1,770
80,820000,505-1009 Harwood Street,Apt/Condo,West End,Vancouver,1,1,706
81,2258900,203-717 W 17th Avenue,Apt/Condo,Cambie,Vancouver,2,2,1405
82,498000,1110-939 Homer Street,Apt/Condo,Yaletown,Vancouver,1,1,443
83,1099000,PH3-4815 Eldorado Mews,Apt/Condo,Collingwood,Vancouver,2,2,1119
84,469000,517-2888 E 2nd Avenue,Apt/Condo,Renfrew,Vancouver,1,1,540
85,9280000,4307-1011 W Cordova Street,Apt/Condo,Coal Harbour,Vancouver,2,3,2667
86,568000,104-2250 W 43rd Avenue,Apt/Condo,Kerrisdale,Vancouver,2,1,1075
87,899000,1205-789 Drake Street,Apt/Condo,Downtown West,Vancouver,2,2,762
88,4900000,4903-1480 Howe Street,Apt/Condo,Yaletown,Vancouver,3,3,2137
89,1148000,2603-188 Keefer Place,Apt/Condo,Downtown West,Vancouver,2,2,1027
90,579000,1110-501 Pacific Street,Apt/Condo,Downtown West,Vancouver,0,1,500
91,563800,401-1635 W 3rd Avenue,Apt/Condo,False Creek,Vancouver,0,1,525
92,550000,978 W 16th Avenue,Apt/Condo,Cambie,Vancouver,1,1,522
93,799800,508-833 Homer Street,Apt/Condo,Downtown West,Vancouver,1,1,676
94,1999988,901-1790 Bayshore Drive,Apt/Condo,Coal Harbour,Vancouver,2,2,1068
95,1988000,1804-1205 W Hastings Street,Apt/Condo,Coal Harbour,Vancouver,2,2,1250
96,1150000,1305-620 Cardero Street,Apt/Condo,Coal Harbour,Vancouver,2,1,718
97,1699900,103-388 Drake Street,Apt/Condo,Yaletown,Vancouver,2,2,1252
98,1319000,2704-1200 Alberni Street,Apt/Condo,West End,Vancouver,3,2,1159
99,629000,404-1633 W 8th Avenue,Apt/Condo,Fairview,Vancouver,1,1,650
100,799999,1006-1189 Melville Street,Apt/Condo,Coal Harbour,Vancouver,1,1,708
101,653000,511-3281 E Kent Avenue North,Apt/Condo,South Marine,Vancouver,2,2,918
102,645000,301-231 E Pender Street,Apt/Condo,Strathcona,Vancouver,1,1,750
103,639000,917-68 Smithe Street,Apt/Condo,Downtown West,Vancouver,1,1,501
104,2789000,1402-1661 Ontario Street,Apt/Condo,False Creek,Vancouver,3,3,1956
105,830000,203-4882 Slocan Street,Apt/Condo,Collingwood,Vancouver,3,2,877
106,579900,1110-5189 Gaston Street,Apt/Condo,Collingwood,Vancouver,2,2,754
